path,label
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0009.mp4_154_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id16_0008.mp4_146_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0006.mp4_431_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id16_0004.mp4_35_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0000.mp4_152_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0001.mp4_83_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id17_0001.mp4_127_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id16_0001.mp4_185_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id17_0002.mp4_40_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0003.mp4_406_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0001.mp4_219_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0000.mp4_308_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id17_0001.mp4_4_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id16_0008.mp4_257_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id16_0001.mp4_246_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id16_0004.mp4_122_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id17_0002.mp4_289_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id17_0000.mp4_208_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id16_0005.mp4_175_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0002.mp4_77_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id16_0002.mp4_208_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0002.mp4_118_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\real_faces\id17_0002.mp4_308_0.jpg,0
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0009.mp4_129_0.jpg,1
C:\Users\A M TECH\Desktop\py playground\Deepfake sys\dataset\fake_faces\id0_id16_0002.mp4_332_0.jpg,1
